,case_no,case_count,node_count,p_node_fail,retires,path_len,path_count,sla
0,1,100,30,0.1,1,20000,1,5.276645215706672e-06
1,2,100,30,0.1,1,20000,1,9.544663768906004e-07
2,3,100,30,0.1,1,20000,1,3.919921382312516e-07
3,4,100,30,0.1,1,20000,1,7.770950557200674e-07
4,5,100,30,0.1,1,20000,1,3.536361624949641e-07
5,6,100,30,0.1,1,20000,1,5.295022001243896e-06
6,7,100,30,0.1,1,20000,1,4.972193135265129e-16
7,8,100,30,0.1,1,20000,1,3.9306350833117704e-07
8,9,100,30,0.1,1,20000,1,0.06375823511549193
9,10,100,30,0.1,1,20000,1,4.6475720885374345e-06
10,11,100,30,0.1,1,20000,1,6.669863827983051e-07
11,12,100,30,0.1,1,20000,1,6.3989199470083444e-06
12,13,100,30,0.1,1,20000,1,3.6462507062393597e-07
13,14,100,30,0.1,1,20000,1,8.739223666615204e-07
14,15,100,30,0.1,1,20000,1,0.053653264253096744
15,16,100,30,0.1,1,20000,1,8.10009535942019e-06
16,17,100,30,0.1,1,20000,1,6.640271401404785e-35
17,18,100,30,0.1,1,20000,1,1.4916716943706567e-07
18,19,100,30,0.1,1,20000,1,0.07678645654606377
19,20,100,30,0.1,1,20000,1,5.82971742953321e-16
20,21,100,30,0.1,1,20000,1,0.04322522948735621
21,22,100,30,0.1,1,20000,1,0.06226177236050803
22,23,100,30,0.1,1,20000,1,6.690222760014982e-06
23,24,100,30,0.1,1,20000,1,3.5695533290041386e-07
24,25,100,30,0.1,1,20000,1,0.07969335639690595
25,26,100,30,0.1,1,20000,1,4.404204724704467e-15
26,27,100,30,0.1,1,20000,1,7.330466228662559e-07
27,28,100,30,0.1,1,20000,1,2.576469684354378e-08
28,29,100,30,0.1,1,20000,1,4.641046645122353e-14
29,30,100,30,0.1,1,20000,1,0.03766512105379764
30,31,100,30,0.1,1,20000,1,0.08157744757027253
31,32,100,30,0.1,1,20000,1,0.03492324682923214
32,33,100,30,0.1,1,20000,1,4.4219361586136055e-15
33,34,100,30,0.1,1,20000,1,0.08352121327487508
34,35,100,30,0.1,1,20000,1,1.3891657838686714e-32
35,36,100,30,0.1,1,20000,1,0.047123199842766875
36,37,100,30,0.1,1,20000,1,1.4437649159520794e-07
37,38,100,30,0.1,1,20000,1,1.8580572651221527e-37
38,39,100,30,0.1,1,20000,1,0.06116405286467805
39,40,100,30,0.1,1,20000,1,4.3681568351686615e-07
40,41,100,30,0.1,1,20000,1,3.7305449480763042e-06
41,42,100,30,0.1,1,20000,1,0.03304212257729721
42,43,100,30,0.1,1,20000,1,5.1020819735853634e-14
43,44,100,30,0.1,1,20000,1,0.06650030113796895
44,45,100,30,0.1,1,20000,1,1.2188480373900127e-05
45,46,100,30,0.1,1,20000,1,0.04844335881934449
46,47,100,30,0.1,1,20000,1,3.2871658444716553e-06
47,48,100,30,0.1,1,20000,1,4.9144660569494916e-06
48,49,100,30,0.1,1,20000,1,2.766300500870146e-273
49,50,100,30,0.1,1,20000,1,6.63742623479433e-07
50,51,100,30,0.1,1,20000,1,1.9256331410655317e-07
51,52,100,30,0.1,1,20000,1,7.9548923803217e-18
52,53,100,30,0.1,1,20000,1,0.08132389587529457
53,54,100,30,0.1,1,20000,1,6.676487631367714e-07
54,55,100,30,0.1,1,20000,1,1.3796162849494756e-07
55,56,100,30,0.1,1,20000,1,0.04976514713352197
56,57,100,30,0.1,1,20000,1,0.10820591999023232
57,58,100,30,0.1,1,20000,1,1.1410018901849721e-14
58,59,100,30,0.1,1,20000,1,0.06511793194047147
59,60,100,30,0.1,1,20000,1,6.952666554912194e-06
60,61,100,30,0.1,1,20000,1,0.10877706308358598
61,62,100,30,0.1,1,20000,1,0.0367167315200624
62,63,100,30,0.1,1,20000,1,9.362001773971988e-07
63,64,100,30,0.1,1,20000,1,5.951974146631301e-06
64,65,100,30,0.1,1,20000,1,6.340699469075265e-31
65,66,100,30,0.1,1,20000,1,6.851869820845264e-07
66,67,100,30,0.1,1,20000,1,3.6451157930374724e-41
67,68,100,30,0.1,1,20000,1,8.734277337523746e-08
68,69,100,30,0.1,1,20000,1,1.5206629511552718e-17
69,70,100,30,0.1,1,20000,1,1.284291996635474e-71
70,71,100,30,0.1,1,20000,1,1.324949323409241e-05
71,72,100,30,0.1,1,20000,1,2.6086230308769787e-06
72,73,100,30,0.1,1,20000,1,2.8176652052055086e-07
73,74,100,30,0.1,1,20000,1,2.908214923959085e-06
74,75,100,30,0.1,1,20000,1,9.187093943705882e-07
75,76,100,30,0.1,1,20000,1,3.123637407091167e-15
76,77,100,30,0.1,1,20000,1,2.947535880746524e-07
77,78,100,30,0.1,1,20000,1,3.005309442161153e-07
78,79,100,30,0.1,1,20000,1,0.06389911914613472
79,80,100,30,0.1,1,20000,1,4.094672317261696e-08
80,81,100,30,0.1,1,20000,1,3.5593258682570967e-06
81,82,100,30,0.1,1,20000,1,1.1091840876166153e-16
82,83,100,30,0.1,1,20000,1,6.367517075477665e-15
83,84,100,30,0.1,1,20000,1,0.06128710365777382
84,85,100,30,0.1,1,20000,1,8.022914804757752e-07
85,86,100,30,0.1,1,20000,1,0.1347861221083996
86,87,100,30,0.1,1,20000,1,3.50207922957717e-07
87,88,100,30,0.1,1,20000,1,0.04962024639306946
88,89,100,30,0.1,1,20000,1,3.695969985987217e-07
89,90,100,30,0.1,1,20000,1,5.260465417421453e-37
90,91,100,30,0.1,1,20000,1,3.9651594300050944e-16
91,92,100,30,0.1,1,20000,1,9.635336688531077e-32
92,93,100,30,0.1,1,20000,1,8.636764469131631e-07
93,94,100,30,0.1,1,20000,1,0.038733385589997386
94,95,100,30,0.1,1,20000,1,0.05046373797246057
95,96,100,30,0.1,1,20000,1,2.415612696095401e-07
96,97,100,30,0.1,1,20000,1,2.9546783204053535e-06
97,98,100,30,0.1,1,20000,1,6.731747162804637e-06
98,99,100,30,0.1,1,20000,1,1.0878735149977666e-07
99,100,100,30,0.1,1,20000,1,9.04331827664597e-18
